node,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,deg_9,deg_10,deg_11,deg_12,deg_13,deg_14,deg_15,deg_16,deg_17,deg_18,deg_19,deg_20
0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,309,112,111,102,78,62,39,25,18,16,15,14,12,12,11,11,10,10,9,8
10,70,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,203,125,102,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,1245,791,539,481,459,243,235,216,157,112,96,68,68,54,40,34,33,24,21,19
10000,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,209,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,209,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,209,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,209,186,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,539,332,68,65,54,33,19,14,10,10,10,8,7,0,0,0,0,0,0,0
10010,209,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,209,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012,1367,243,209,181,135,65,46,24,0,0,0,0,0,0,0,0,0,0,0,0
10013,597,424,162,40,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10014,40,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,386,174,157,156,141,121,111,106,105,103,89,86,81,81,73,69,69,68,67,66
