Component,Variance_Explained,Cumulative_Variance
PC1,0.8054278487206148,0.8054278487206148
PC2,0.0964990310138739,0.9019268797344887
PC3,0.04069883977206913,0.9426257195065578
PC4,0.025454318535751936,0.9680800380423098
PC5,0.01111033056049971,0.9791903686028095
PC6,0.006085707113514155,0.9852760757163237
PC7,0.003966948015824074,0.9892430237321478
PC8,0.0026572765860152373,0.991900300318163
PC9,0.0020221512716013957,0.9939224515897644
PC10,0.0014287606398065125,0.9953512122295709
PC11,0.0011060265831889383,0.9964572388127598
PC12,0.0008527368013008642,0.9973099756140607
PC13,0.0006477244963498417,0.9979577001104105
PC14,0.0005066634823250518,0.9984643635927356
PC15,0.00039905398242009955,0.9988634175751557
PC16,0.0003260364614572454,0.999189454036613
PC17,0.00026786040258217,0.9994573144391952
PC18,0.00022071993899167288,0.9996780343781868
PC19,0.0001752376072166146,0.9998532719854034
PC20,0.00014672801459660238,1.0
